Название_судна,Бортовой_номер,IMO,Тип_Модель,Год_постройки,Состояние,Регион_работы,Судовладелец_ИНН,Судовладелец,GFW_ID,GFW_Name,Регион_регистрации
Браузер,,8320925,РШ,,Эксплуатация,Дальневосточный,2723194055,"ООО ""МЕРЛИОН""",71882c052-2bdd-aff4-ec8d-f1147d7070ef,BRAUZER,Приморский край
Брест,МК-0551,7523283,,,Эксплуатация,Северный,5190041185,"ООО ""СОВМЕСТНОЕ ПРЕДПРИЯТИЕ ""СОЮЗРЫБА""",2a1640cf7-728a-0da1-1d79-0ba0fc052c78,BREST,Мурманская обл.
Бриз,,,СРТМ,,Эксплуатация,Дальневосточный,6515000242,"АО ""СК БСФ""",54d3a00e3-38f6-9018-1cad-adc81e0b1017,BRIZ,Сахалинская обл.
Бутес,МК-0079,9409637,,,Эксплуатация,Северный,5191315872,ООО «НОРД ПИЛИГРИМ»,551012a35-5f8d-7bd0-f658-7d1f1792f358,BUTES,Мурманская обл.
Бутовск,,7941643,БМРТ,,Эксплуатация,Дальневосточный,6501292475,"ООО ""МЕРКУРИЙ""",0258fd7e3-3578-eec2-f9e9-e03f9914c082,BUTOVSK,Камчатский край
Бухта Нагаева,,,ТР,,Эксплуатация,Дальневосточный,4909070355,ООО «МАГ-СИ ИНТЕРНЕШНЛ»,105c3e75e-e5a9-944c-a1f2-779b6e1f351a,,Магаданская обл.
Бухта Преображения,,,ТР,,Эксплуатация,Дальневосточный,2518000814,"ПАО ""ПБТФ""",105c3e75e-e5a9-944c-a1f2-779b6e1f351a,,Приморский край
Вайгач,МК20892,9906386,,,Эксплуатация,Северный,5105005573,"ООО ""ФРОСТЕР""",f196731d6-6e67-e980-5e33-37bb47ee97fb,VAYGACH,Мурманская обл.
Валентин Мантуров,МК20038,9848596,,,Эксплуатация,Северный,2917001834,"ООО «СОГРА""",3883fa7a7-7185-34a9-b603-94031994bd06,VALENTIN MANTUROV,Мурманская обл.
Валерий Маслаков,,9231391,СРТМ,,Эксплуатация,Дальневосточный,2704007990,"ООО ""АНТЕЙ""",5638f4465-5588-8ee8-565a-14c9b8613c03,VALERIY MASLAKOV,Приморский край
Вариант,МК-0182,,,,Эксплуатация,Северный,7728048794,"АО ""РПФ ВАРИАНТ""",1e5e222ac-cfe1-1a4f-d484-8e9f47df07da,VARIANT,Мурманская обл.
Василий Головнин,МК-0361,8913277,,,Эксплуатация,Северный,5100000010,ПАО «МУРМАНСКИЙ ТРАЛОВЫЙ ФЛОТ» ИЛИ ПАО «МТФ»,fe9b0337e-e18d-0817-f74a-0fa9a4864a2a,VASILIY GOLOVNIN,Мурманская обл.
Василий Каленов,,8908129,РТ,,Эксплуатация,Дальневосточный,6507005529,"ООО «ПОРОНАЙ""",1c0c16f47-7ac8-eb4e-f5bd-79ffb9a37978,VASILIY KALENOV,Сахалинская обл.
Василий Лозовский,М-0009,8607323,,,Эксплуатация,Северный,5190098311,"ООО ""СТРЕЛЕЦ-1""",03f1a31a5-51c5-498e-8457-77e2df2f2365,VASILIY LOZOVSKIY,Мурманская обл.
Василий Лозовский,М-0009,8607323,,,Эксплуатация,Северный,5191407604,"ООО «СТРЕЛЕЦ""",03f1a31a5-51c5-498e-8457-77e2df2f2365,VASILIY LOZOVSKIY,Мурманская обл.
Василий Филиппов,МК5119,8607191,,,Эксплуатация,Северный,5100000010,ПАО «МУРМАНСКИЙ ТРАЛОВЫЙ ФЛОТ» ИЛИ ПАО «МТФ»,3d9dec0da-af8c-bd6f-0da7-4ba3a8891b83,VASILIY FILIPPOV,Мурманская обл.
Васильевский остров,,8721181,БМРТ,,Эксплуатация,Дальневосточный,8701003484,"АО «ТРАЛФЛОТ""",a2ee35539-95e4-5b4f-d92e-bc9f16a1c9ac,VASILYEVSKIY OSTROV,Хабаровский край
Вега,М-0184,,,,Эксплуатация,Северный,5190500022,АО НПП «ВЕГА»,8b0be4dc8-8a46-50ea-96a7-85c45d985f39,VEGA,Мурманская обл.
Вераспер,,9055266,,,Эксплуатация,Дальневосточный,8203002819,"ООО ""ТЫМЛАТСКИЙ РЫБОКОМБИНАТ""",981d7aa26-6a57-5b54-1bdf-845aa36afb9c,VERASPER,Камчатский край
Виданово,,8845743,СТР,,Эксплуатация,Дальневосточный,6501231095,"ООО ""КУК""",e502508ac-ca9d-1f28-57fa-c05e70b0da51,VIDANOVO,Сахалинская обл.
Викинг,М-0337,,,,Эксплуатация,Северный,2901069731,"ООО ""ЯГРЫ""",585665b87-7002-1916-badc-502bd83bec2d,VIKING,Мурманская обл.
Виктория 3,,,СРТМ,,Эксплуатация,Дальневосточный,2723050060,"ООО ""СИГМА МАРИН ТЕХНОЛОДЖИ""",740d7eafe-e487-2f9b-fa49-a502b4a92e77,VIKTORIYA-A,Хабаровский край
