ИНН,Юр_Лицо,Группа_Компаний,Исключить,Комментарий,Директор_ListOrg
4100006691,"ООО ""Камчаттралфлот""",,,,
4100006765,"Организация ООО РК ""Лунтос""",,,,
4100009251,"Организация ООО ""ЮНИЯ""",,,,
4100013811,"Организация ООО ""ПК РКЗ""",,,,
4100015921,"Организация ООО ""ФОРК""",,,,
4100016925,"Организация ООО ""МАРКУЗ""",,,,"( - директор, учредитель; находится по одному адресу с ООО ""МАРКУЗ"" ) ООО ""РК"" ( Пайманова Александра Геннадьевна - генеральный директор, учредитель) ООО ""РЫБНЫЙ КРАЙ"" (ликвидир. 25.08.2023) ( - учредитель; находилось по одному адресу с ООО ""МАРКУЗ"" )"
4100019115,"Организация ООО ""СЕВЕРНЫЕ ПРОМЫСЛЫ""",,,,"( Филимонов Анатолий Николаевич - генеральный директор, учредитель; Иванов Игорь Анатольевич - учредитель) ООО РКЗ ""КАЙТЕС"" ( Филимонов Анатолий Николаевич - генеральный директор, учредитель) ООО ДЮЦО ""АЛЫЕ ПАРУСА"" ( Филимонов Анатолий Николаевич - генеральный директор, учредитель) ( Филимонов Анатолий Николаевич - учредитель; Иванов Игорь Анатольевич - генеральный директор, учредитель) ООО ""МОРСКЛАД"" ( Филимонов Анатолий Николаевич - учредитель; Иванов Игорь Анатольевич - генеральный директор, учредитель) ООО ""НИК-АВТО"" ( Филимонов Анатолий Николаевич - учредитель; Иванов Игорь Анатольевич - учредитель) ( Филимонов Анатолий Николаевич - учредитель; Иванов Игорь Анатольевич - учредитель) ООО ""ИЧАНГА"" ( - учредитель до 18.10.2018 * ) ООО ""КРУТОГОРОВСКИЙ РКЗ"" (ликвидир. 18.11.2019) ( Филимонов Анатолий Николаевич - генеральный директор, учредитель; Иванов Игорь Анатольевич - учредитель) ( Филимонов Анатолий Николаевич - генеральный директор, учредитель) РОО ""ФЕДЕРАЦИЯ АВТОМОБИЛЬНОГО СПОРТА КАМЧАТСКОГО КРАЯ"" ( - председатель до 06.05.2019 * , учредитель до 15.12.2021 * ) ООО ""ДТК"" (ликвидир. 13.06.2013) ( Филимонов Анатолий Николаевич - учредитель; Иванов Игорь Анатольевич - ликвидатор, учредитель) ( - директор, учредитель до 01.01.2022 * ) ООО ""ЛИЗИНГ"" (ликвидир. 07.08.2008) ( Филимонов Анатолий Николаевич - учредитель) ООО ""ТОЛБАЧИК-КАМЧАТКА"" (ликвидир. 10.06.2016) ( Филимонов Анатолий Николаевич - учредитель) ( - учредитель до 30.07.2020 * ; - директор до 16.04.2020 * , учредитель до 30.07.2020 * ) ООО ""СУЛОЙ А"" (ликвидир. 04.03.2021) ( - учредитель до 30.07.2020 * ; - директор до 16.04.2020 * , учредитель до 30.07.2020 * )"
4100021636,"Организация ООО ""РОСКАМРЫБА""",,,,"( Кучугуров Олег Геннадьевич - генеральный директор, учредитель; находится по одному адресу с ООО ""РОСКАМРЫБА"" ) Щербак Елена Владимировна (генеральный директор ООО ""ДИАЛС"" , учредитель ООО ""ДИАЛС"" ) ООО ""АЛЬТАИР ДВ"" ( - учредитель, генеральный директор до 21.11.2022 * ) (правопреемник АО ""АКРОС"" , - учредитель до 31.12.2021 * ; находилось по старому адресу ООО ""РОСКАМРЫБА"" ) ООО ""АСПЕКТ ДВ"" ( ООО ""ДИАЛС"" - учредитель; находится по одному адресу с ООО ""РОСКАМРЫБА"" ) ООО ""АТКАФИШ"" ( Кучугуров Олег Геннадьевич - генеральный директор) (генеральный директор АО ""АКРОС"" ) ООО ""КАПРОДОН"" ( АО ""АКРОС"" - учредитель; находилось по старому адресу ООО ""РОСКАМРЫБА"" ) Гущин Александр Федорович (учредитель ООО ""ДИАЛС"" ) (правопреемник АО ""АКРОС"" ; находилось по старому адресу ООО ""РОСКАМРЫБА"" ) ООО ""МИМЫЛ"" ( - генеральный директор до 18.04.2025 * ) ООО ""АЛЬТАИР"" (ликвидир. 04.04.2023) ( Кучугуров Олег Геннадьевич - ликвидатор, учредитель) (генеральный директор АО ""АКРОС"" до 24.01.2024 * ) (генеральный директор АО ""АКРОС"" до 25.01.2021 * ) ЗАО ""КАМЧАТКА-ВОСТОК"" (ликвидир. 23.01.2013) ( - правопреемник, учредитель до 31.12.2021 * ; находилось по старому адресу ООО ""РОСКАМРЫБА"" ) ( АО ""АКРОС"" - учредитель; находилось по старому адресу ООО ""РОСКАМРЫБА"" ) ООО ""КОЛОС"" (ликвидир. 10.06.2016) ( АО ""АКРОС"" - учредитель) ООО ""РЫБОСТ"" (ликвидир. 17.03.2016) ( АО ""АКРОС"" - учредитель) ( АО ""АКРОС"" - управляющая организация; находилось по старому адресу ООО ""РОСКАМРЫБА"" ) ЗАО ""АКРОС 1"" (ликвидир. 19.08.2014) ( АО ""АКРОС"" - правопредшественник) АО ""АКРОС 4"" (ликвидир. 30.04.2020) ( АО ""АКРОС"" - правопредшественник) (находится по одному адресу с ООО ""РОСКАМРЫБА"" ) КАМЧАТСКОЕ РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ПОЛИТИЧЕСКОЙ ПАРТИИ ""ПАРТИЯ РОСТА"" (ликвидир. 13.02.2026) ( - учредитель до 15.12.2021 * ) АПГР (ликвидир. 27.07.2010) ( - учредитель до 01.01.2022 * ) ( - учредитель до 01.01.2022 * ) ЗАО ""ВЕК КАМЧАТКА"" (ликвидир. 13.02.2014) ( - учредитель до 01.01.2022 * ) НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ АССОЦИАЦИЯ РЫБОПРОМЫШЛЕННИКОВ КАМЧАТКИ (ликвидир. 03.10.2007) ( - учредитель до 31.12.2021 * ) ( - учредитель до 31.12.2021 * ) ЗАО ""КУБАНЬ-ПОЛИМЕР"" (ликвидир. 22.07.2015) ( - учредитель до 01.01.2022 * ) ООО ""РОЛИЗ"" (находилось по старому адресу ООО ""РОСКАМРЫБА"" ) (находилось по старому адресу ООО ""РОСКАМРЫБА"" ) АО ""КЗБ-СЕЛЬДЬ"" (находилось по старому адресу ООО ""РОСКАМРЫБА"" )"
4100043608,"ООО ""Юпитер Восток""",Сигма-Марин,,,
4100043615,"Организация ООО ""ЮПИТЕР ЗАПАД""",,,,"( Гунин Клим Юрьевич - генеральный директор, учредитель) ООО ""ЗЕТА"" ( Гунин Клим Юрьевич - генеральный директор, учредитель) ООО ""АЛЬФА"" ( Гунин Клим Юрьевич - генеральный директор, учредитель) ( Гунин Клим Юрьевич - генеральный директор) ООО ""НЕВСКИЙ ХЛАДОКОМБИНАТ"" ( Гунин Клим Юрьевич - учредитель) ООО ""ШИВЕЛУЧ"" ( Гунин Клим Юрьевич - учредитель) (учредитель ООО ""СРК"" ) ООО ""ПРИБОЙ-ВОСТОК"" ( - первый заместитель генерального директора до 26.12.2024 * ) ООО ""АРИНАЙ"" ( - генеральный директор до 15.02.2023 * ) ( Гунин Клим Юрьевич - ликвидатор, учредитель) ООО ""КАМИНВЕСТ ПРОЕКТ"" (ликвидир. 13.12.2011) ( Гунин Клим Юрьевич - директор, учредитель) ООО ""СКИТ"" ( - учредитель до 13.12.2018 * ) ( - учредитель до 14.12.2018 * ) ООО ""ОХОТОМОРЬЕ"" (ликвидир. 31.10.2016) ( Гунин Клим Юрьевич - учредитель) ООО ""ВОСТОКАЭРО"" (ликвидир. 04.12.2006) ( Гунин Клим Юрьевич - учредитель) ( - учредитель) ООО ""ВОСТОК ФИШЕРИ"" (ликвидир. 24.07.2020) ( - учредитель) ООО ""ЮПИТЕР ВОСТОК"" (ликвидир. 10.06.2024) ( - учредитель до 28.06.2023 * , генеральный директор до 25.07.2023 * ; находилось по одному адресу с ООО ""ЮПИТЕР ЗАПАД"" ) ( - учредитель до 01.11.2019 * ) ООО ""СПЕКТР"" (ликвидир. 15.04.2020) ( - учредитель до 13.12.2018 * ) КОЛХОЗ ""НАРОДЫ СЕВЕРА"" (ликвидир. 01.11.2007) ( - учредитель до 31.12.2021 * ) ( - учредитель до 31.12.2021 * ) АССОЦИАЦИЯ РЫБОПРОМЫШЛЕННИКОВ ""АВАЧИНСКИЙ ЗАЛИВ"" (ликвидир. 28.02.2007) ( - учредитель до 01.01.2022 * )"
4100045193,"Организация ООО ""ПУЛФИШ""",,,,"(генеральный директор ООО ""ПУЛ"" , учредитель ООО ""ПУЛ"" ) Барабанов Сергей Анатольевич (генеральный директор АО ""ОЗЕРНОВСКИЙ РКЗ № 55"" ) ООО ""ПОБЕРЕЖЬЕ КАМЧАТКИ"" ( АО ""ОЗЕРНОВСКИЙ РКЗ № 55"" - учредитель; находится по одному адресу с ООО ""ПУЛФИШ"" ) ( АО ""ОЗЕРНОВСКИЙ РКЗ № 55"" - учредитель) ООО ""САЛМОНИКА-АВИА"" ( АО ""ОЗЕРНОВСКИЙ РКЗ № 55"" - учредитель) ООО""ШАЛЕ"" ( - учредитель до 17.07.2025 * ) ОАО ""ЗВЕРОЗАВОД ""АВАЧИНСКИЙ"" ( - учредитель до 31.12.2021 * ) ( - учредитель до 21.12.2022 * ) показать ещё 7 дочерних организаций АО ""ОЗЕРНОВСКИЙ РКЗ № 55"" ООО ""ВИТЯЗЬ АВТО"" (участник реорганизации АО ""ОЗЕРНОВСКИЙ РКЗ № 55"" ) (участник реорганизации АО ""ОЗЕРНОВСКИЙ РКЗ № 55"" ) (конкурсный управляющий ООО ""ПУЛ"" до 17.06.2022 * ) (конкурсный управляющий ООО ""ПУЛ"" до 29.04.2022 * ) ( - учредитель до 15.07.2025 * ; находилось по одному адресу с ООО ""ПУЛФИШ"" ) ( АО ""ОЗЕРНОВСКИЙ РКЗ № 55"" - учредитель, правопреемник) ООО ""ПАЛЛАДА ПЛЮС"" (ликвидир. 05.10.2020) ( АО ""ОЗЕРНОВСКИЙ РКЗ № 55"" - учредитель, правопреемник) АО ""ОПИЛИО"" (ликвидир. 13.12.2019) ( - правопредшественник, учредитель до 04.01.2022 * ) ( - генеральный директор до 02.03.2018 * ) (находится по одному адресу с ООО ""ПУЛФИШ"" ) ООО ""АЛЬПИКА ПЛЮС"" (находилось по одному адресу с ООО ""ПУЛФИШ"" ) РОО ""ФЕДЕРАЦИЯ КАМЧАТСКОГО КРАЯ ПО МОТОЦИКЛЕТНОМУ СПОРТУ"" (находилось по одному адресу с ООО ""ПУЛФИШ"" )"
4100051479,"Организация ООО ""ФОРТУНА""",,,,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Котов Владимир Викторович
4100052151,"ООО ""САНФИШ 1""",Сигма-Марин,,,
4100052169,"ООО ""САНФИШ 2""",Сигма-Марин,,,
4100052176,"ООО ""санфиш 3""",Сигма-Марин,,,
4100052183,"ООО ""САНФИШ 4""",Сигма-Марин,,,ШЕВЦОВА ЛИЛИЯ ЮРЬЕВНА
4100052440,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИНТАЙ-РК""",ГК РРПК,,,КИЩЕНКОВ АНТОН ВАЛЕРЬЕВИЧ
4100052673,"ООО ""ГЕРМЕС 1""",Сигма-Марин,,,РАДИОНОВ МИХАИЛ ЮРЬЕВИЧ
4100052680,"ООО ""ГЕРМЕС 2""",,,,
4100052698,"ООО ""ГЕРМЕС 3""",,,,
4100052708,"ООО ""АНТАРЕС 1""",,,,
4100052715,"ООО ""АНТАРЕС 2""",Сигма-Марин,,,КОТОВ ВЛАДИМИР ВИКТОРОВИЧ
4100052722,"ООО ""антарес 3""",,,,
4100052730,"ООО ""КАЙРОС 1""",Сигма-Марин,,,ПЕРСТНЕВ АЛЕКСАНДР ИВАНОВИЧ
4100052747,"ООО ""КАЙРОС 2""",Сигма-Марин,,,РУДЕНКО ОЛЕГ ГЕННАДЬЕВИЧ
4100052754,"ООО ""КАЙРОС 3""",Сигма-Марин,,,РУДЕНКО ОЛЕГ ГЕННАДЬЕВИЧ
4100052761,"ООО ""КАЙРОС 4""",Сигма-Марин,,,РУДЕНКО ОЛЕГ ГЕННАДЬЕВИЧ
4100053684,"ООО ""РКЗ ""КОМАНДОР-ИНВЕСТ""",,,,СИДОРОВ ВИКТОР ПЕТРОВИЧ
4100054141,"ООО ""ГЕЙЗЕР""",ГК Доброфлот,,,ЕФРЕМОВА АРИНА ЛЕОНИДОВНА
4100054159,"ООО ""КАЛЬДЕРА""",ГК Доброфлот,,,ЕФРЕМОВА АРИНА ЛЕОНИДОВНА
4100054663,"ООО ""ЗЕВС 1""",Сигма-Марин,,,РУДЕНКО ОЛЕГ ГЕННАДЬЕВИЧ
4100054670,"ООО ""ЗЕВС 2""",Сигма-Марин,,,РУДЕНКО ОЛЕГ ГЕННАДЬЕВИЧ
4100054688,"ООО ""ЗЕВС 3""",Сигма-Марин,,,РУДЕНКО ОЛЕГ ГЕННАДЬЕВИЧ
4100054695,"ООО ""ЗЕВС 4""",Сигма-Марин,,,РУДЕНКО ОЛЕГ ГЕННАДЬЕВИЧ
4100054705,"ООО ""ЗЕВС 5""",Сигма-Марин,,,РУДЕНКО ОЛЕГ ГЕННАДЬЕВИЧ
4100054712,"ООО ""СИРИУС 1""",Сигма-Марин,,,РУДЕНКО ОЛЕГ ГЕННАДЬЕВИЧ
4100054720,"ООО ""СИРИУС 2""",Сигма-Марин,,,РУДЕНКО ОЛЕГ ГЕННАДЬЕВИЧ
4100054737,"ООО ""СИРИУС 3""",Сигма-Марин,,,РУДЕНКО ОЛЕГ ГЕННАДЬЕВИЧ
4100054751,"ООО ""СИРИУС 5""",Сигма-Марин,,,РУДЕНКО ОЛЕГ ГЕННАДЬЕВИЧ
4100054769,"ООО ""ПАРНАС 1""",Сигма-Марин,,,РУДЕНКО ОЛЕГ ГЕННАДЬЕВИЧ
4100054776,"ООО ""ПАРНАС 2""",Сигма-Марин,,,РУДЕНКО ОЛЕГ ГЕННАДЬЕВИЧ
4100054783,"ООО ""ПАРНАС 3""",Сигма-Марин,,,РУДЕНКО ОЛЕГ ГЕННАДЬЕВИЧ
4100054800,"ООО ""ПАРНАС 5""",Сигма-Марин,,,РУДЕНКО ОЛЕГ ГЕННАДЬЕВИЧ
4100055770,"ООО ""КАЙРОС""",Сигма-Марин,,,ПЕРЕЛЫГИН ДМИТРИЙ ПАВЛОВИЧ
4100055787,"ООО ""СИРИУС""",Сигма-Марин,,,ПЕРЕЛЫГИН ДМИТРИЙ ПАВЛОВИЧ
4100055811,"ООО ""САНФИШ Т""",Сигма-Марин,,,РУДЕНКО ОЛЕГ ГЕННАДЬЕВИЧ
4100056050,"ООО ""АВИОР""",Сигма-Марин,,,Руденко Олег Геннадьевич
4100056068,"ООО ""АКРУКС""",Сигма-Марин,,,Руденко Олег Геннадьевич
4100056075,"ООО ""АЛИОТ""",Сигма-Марин,,,Руденко Олег Геннадьевич
4100056082,"ООО ""АЛЬКОР""",Сигма-Марин,,,Руденко Олег Геннадьевич
4100056090,"ООО ""АЛЬТАИР""",Сигма-Марин,,,Руденко Олег Геннадьевич
4100056100,"ООО ""АЛЬФАРД""",Сигма-Марин,,,Руденко Олег Геннадьевич
4100056117,"ООО ""АРКТУР""",Сигма-Марин,,,Руденко Олег Геннадьевич
4100056124,"ООО ""ВЕГА""",Сигма-Марин,,,Руденко Олег Геннадьевич
4100056131,"ООО ""КАЙТОС""",Сигма-Марин,,,Руденко Олег Геннадьевич
4100056149,"ООО ""КАСТОР""",Сигма-Марин,,,Руденко Олег Геннадьевич
4100056156,"ООО ""КАПЕЛЛА""",Сигма-Марин,,,Руденко Олег Геннадьевич
4100056163,"ООО ""ПРОЦИОН""",Сигма-Марин,,,Руденко Олег Геннадьевич
4100056170,"ООО ""РЕГИУС""",Сигма-Марин,,,Руденко Олег Геннадьевич
4100056188,"ООО ""СИГНУС""",Сигма-Марин,,,Руденко Олег Геннадьевич
4100056195,"ООО ""ТУРАЙС""",Сигма-Марин,,,Руденко Олег Геннадьевич
4101013772,"АО ""Акрос""",ГК Норебо,,,ЛЫСЕНКО СЕРГЕЙ АЛЕКСЕЕВИЧ
4101016808,РК ИМ. В.И. ЛЕНИНА,ГК РРПК,,,ТАРУСОВ СЕРГЕЙ БОРИСОВИЧ
4101020811,"ООО ""КАМКОРН И КО""",,,,РОМАШКО МАКСИМ ВЛАДИМИРОВИЧ
4101024943,"ООО ""КАММАГ""",,,,
4101026002,"ООО ""ЭКОФИМ""",,,,ТЮЛЕГЕНОВ ЗИНУР ХАЛИЛОВИЧ
4101065594,"ООО ""ПУЛ""",,,,НОВИКОВ СЕРГЕЙ ВАСИЛЬЕВИЧ
4101076846,"ООО ""ГАЛИС""",,,,СКОСЫРСКИЙ ДМИТРИЙ ВЯЧЕСЛАВОВИЧ
4101077695,"ООО ""СУЛОЙ""",,,,ИВАНОВ ИГОРЬ АНАТОЛЬЕВИЧ
4101081250,"ООО ""ВИТЯЗЬ-АВТО""",Сигма-Марин,,,КОТОВ ВЛАДИМИР ВИКТОРОВИЧ
4101085833,"ООО""ТЕРТЕЙ-ФЛОТ""",,,,ЯШКИН ОЛЕГ ВИКТОРОВИЧ
4101087870,"АО ""УТРФ-КАМЧАТКА""",ГК РРПК,,,АРЛУКЕВИЧ ОЛЬГА АНАТОЛЬЕВНА
4101094570,"ООО РК ""КРУТОГОРОВСКОЕ""",,,,КАПЕЛЮХ ИГОРЬ ЯРОСЛАВОВИЧ
4101128396,"ООО ""КРИСТАЛЛ ПЛЮС""",,,,ИНАМОВ РУСТАМЖАН МАККАМОВИЧ
4101138370,"ООО ""Полар Си""",ГК Норебо,,,
4101142626,"ООО ""СЕВЕР""",Сигма-Марин,,"Конфликт групп по директору (АРЫКОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ): ГК РРПК, Сигма-Марин; Конфликт групп по директору (АРЫКОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ): ГК РРПК, Сигма-Марин; Конфликт групп по директору (АРЫКОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ): ГК РРПК, Сигма-Марин; Конфликт групп по директору (АРЫКОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ): ГК РРПК, Сигма-Марин; Конфликт групп по директору (АРЫКОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ): ГК РРПК, Сигма-Марин; Конфликт групп по директору (АРЫКОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ): ГК РРПК, Сигма-Марин; Конфликт групп по директору (АРЫКОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ): ГК РРПК, Сигма-Марин; Конфликт групп по директору (АРЫКОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ): ГК РРПК, Сигма-Марин; Конфликт групп по директору (АРЫКОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ): ГК РРПК, Сигма-Марин; Конфликт групп по директору (АРЫКОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ): ГК РРПК, Сигма-Марин; Конфликт групп по директору (АРЫКОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ): ГК РРПК, Сигма-Марин; Конфликт групп по директору (АРЫКОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ): ГК РРПК, Сигма-Марин; Конфликт групп по директору (АРЫКОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ): ГК РРПК, Сигма-Марин",АРЫКОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ
4101145169,"ОАО  ""ФЕНИКС""",,,,НОВОСЕЛОВ ЕВГЕНИЙ АЛИКОВИЧ
4101151638,"АО ""АКРОС 3""",ГК Норебо,,,ЛЫСЕНКО СЕРГЕЙ АЛЕКСЕЕВИЧ
4101153635,"АО ""ЯМСЫ""",ГК Норебо,,,ГАЛАХИН МИХАИЛ ЮРЬЕВИЧ
4101156121,"ООО ""ЗАПАДНЫЙ БЕРЕГ""",,,,ШЕВЧУК СЕРГЕЙ ВАЛЕНТИНОВИЧ
4101158009,"ООО ""Город 415""",,,,
4101161435,"ООО ""ОКТЯБРЬСКИЙ-1""",,,,МАТВЕЕНКО АЛЕКСАНДР ВАЛЕРЬЕВИЧ
4101166472,"АО ""РЫБСПЕЦПРОМ""",,,,КОМАРОВ ДМИТРИЙ ВЛАДИМИРОВИЧ
4101171095,"ООО ""РЫБАК КОВРАНА""",,,,БАРАБАНОВ ЕВГЕНИЙ СЕРГЕЕВИЧ
4101178252,"ООО ""МОРСКОЙ БРИЗ""",,,,ПАВЛОВ ЮРИЙ ВАЛЕНТИНОВИЧ
4101179538,"Организация ООО ""МУССОН ДВ""",,,,
4101180580,"АО ""УТРФ-ПАЛТУС""",ГК УТРФ,,,ЗАКШЕВСКИЙ АНАТОЛИЙ ИВАНОВИЧ
4101181939,"ООО ""ЯРУС 2""",,,,
4101186849,"Организация ООО ""АСИРУС""",,,,
4101186856,"Организация ООО ""АЛЬФА""",,,,
4101186863,"Организация ООО ""ЗЕТА""",,,,
4101188821,"Организация ООО ""АЛЕСТАР""",,,,
4101189430,"Организация ООО ""ТРЕСКА ДВ""",,,,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Базикалов Игорь Викторович
4101189462,"ООО ""Минтай ДВ""",Сигма-Марин,,,БАТИЩЕВ ИВАН ВАЛЕРЬЕВИЧ
4101190059,"Организация АО ""УЗОН""",,,,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР Яцьков Сергей Станиславович
4102006640,"Организация ООО ""РПЗ ""СОКРА""",,,,
4102007080,"Организация ООО ""Сокра-Флот""",,,,
4105045817,"Организация ООО ""СЕВЕРНАЯ РЫБА""",,,,
4105045951,"Организация АО ""РК ""МАЛКИНСКОЕ""",,,,
4105046627,"Организация ООО ""КАМЧАДАЛ""",,,,
4107000385,"Организация ООО ""ЗАРЯ""",,,,
4107002304,"Организация ОАО ""КОЛХОЗ ОКТЯБРЬ""",,,,
4108000596,"РА ""КОЛХОЗ КРАСНЫЙ ТРУЖЕНИК""",,,,
4108002547,"ООО ""Рыболовецкая Артель""",,,,
4108002681,ООО «РЫБХОЛКАМ»,,,,
4108003188,"АО ""РКЗ ""Командор""",,,,
4108003484,"АО ""Озерновский РКЗ № 55""",,,,
4108003491,ООО «ОКТЯБРЬСКИЙ РЫБОКОМБИНАТ»,,,,
4108006887,"ООО Артель ""Народы Севера""",,,,
4109002892,"ООО ""Дельта Фиш ЛТД""",,,,
4109004755,"ООО ""Шивелуч""",,,,
4900004742,"ООО ""РПК Магаданский""",,,,
4900012366,"ООО ""Торгпромус плюс""",,,,
4900019185,"ООО ""Магаданский рыбный промысел""",,,,
4901006767,"ООО ""Арманская рыбопромышленная группа""",,,,
4901007489,"ООО ""Тритон""",,,,
4909053889,"ООО ""Тихрыбком""",,,,
4909056047,"ООО ""МАГАДАНРЫБА""",ГК Норебо,,,ТЕЛЕНКОВ РУСЛАН НИКОЛАЕВИЧ
4909070355,"ООО ""Маг-Си Интернешнл""",,,,
4909073116,ООО «ТОРГПРОМУС»,,,,
4909073370,"ООО ""Дальрыбфлотпродукт""",,,,
4909078918,"ООО ""Таксосервис""",,,,
4909084252,"АО ""Тралком""",,,,
4909107196,"ООО ""Феникс-К""",,,,
4909110456,"ЗАО ""Рыбозавод Магаданский""",,,,
4909114690,"ООО ""Ольский рыбопромышленный завод""",,,,
4909117170,"АО ""Магадантралфлот""",ГК Норебо,,,ЛЫСЕНКО СЕРГЕЙ АЛЕКСЕЕВИЧ
4909120133,"ООО ""СЕВРЫБФЛОТ""",,,,
4909120214,"ООО ""Симар-2""",,,,
4909122123,"ООО ""Магаданрыба 2""",,,,
5100000010,ПАО «МУРМАНСКИЙ ТРАЛОВЫЙ ФЛОТ» ИЛИ ПАО «МТФ»,,,,
5105003590,ООО «ГЕЛА»,,,,
5105005573,"ООО ""ФРОСТЕР""",,,,
5105090018,СПК РК «ЭНЕРГИЯ»,,,,
5105093964,"ООО ""РК ""ПОЛЯРНОЕ МОРЕ+""",,,,
5105097302,"ООО ""АЛЬФА ТРЕЙД""",,,,
5105097310,ООО «АЛЬФА М»,,,,
5106090010,РК «ПОНОЙ-ЛАХТА»,,,,
5110310861,"ОАО ""СЕВЕРОМОРСКИЙ АЛЬЯНС""",,,,
5110330018,"СПК РК ""МУРМАН""",,,,
5111000421,"СПК РК ""ВСХОДЫ КОММУНИЗМА""",,,,
5111002203,СПК РК «ЧАПОМА»,,,,
5116040354,СПК РК «СЕВЕРНАЯ ЗВЕЗДА»,,,,
5190001070,"АО ""ЛКТ""",ГК ФОР,,,
5190005317,"ООО ""ПАРК""",,,,
5190020202,ООО «СЕВЕРНЫЕ ПРОМЫСЛЫ»,,,,
5190022810,ООО «СЕВЕРНЫЙ ПРИБОЙ»,,,,
5190029090,"ООО ""ЭТА-ТРЕЙД""",,,,
5190029544,"Проверка контрагента по ИНН – больше, чем выписка из ЕГРЮЛ",Группа Согласие,,,
5190033581,"Проверка контрагента по ИНН – больше, чем выписка из ЕГРЮЛ",ГК Норебо,,,
5190037870,"АО ""Арктический траловый флот""",СЗРК,,АТФ,
5190039389,"Проверка контрагента по ИНН – больше, чем выписка из ЕГРЮЛ",ГК Норебо,,,
5190045302,"ООО ""ПРИЧАЛ-Л""",,,,
5190045775,"ООО ""АРКТИКХОЛДИНГ""",,,,
5190047268,ООО «ЭПСИЛОН»,,,,
5190057114,"ООО ""МРК""",,,,
5190058125,"ООО ""СИЯНИЕ АРКТИКИ""",,,,
5190059270,"ООО ""БАРЕНЦБИОРЕСУРС""",,,,
5190060999,ООО «ЯРУС»,,,,
5190064087,ООО «КЕРЕТЬ»,,,,
5190069022,"Проверка контрагента по ИНН – больше, чем выписка из ЕГРЮЛ",ГК ФОР,,,
5190072546,"ООО ""Русская треска""",МурманСиФуд,,,ХИЖНЯКОВ ВЛАДИМИР АЛЕКСЕЕВИЧ
5190080138,"ООО ""Б-Краб""",,,,
5190081090,"ООО ""Антей Север""",,,,
5190089081,АО «СЕВРЫБКОМФЛОТ»,,,,
5190091740,"ООО ""СИГМА-ТРЕЙД""",,,,
5190100161,"Проверка контрагента по ИНН – больше, чем выписка из ЕГРЮЛ",ГК Норебо,,МРФ,
5190103233,"ООО ""Эридан""",ГК Норебо,,,СТАРКОВ ДЕНИС АЛЕКСЕЕВИЧ
5190119530,"ООО ""СЗКК""",,,,
5190133118,"ООО ""ДАЛЬНИЕ ЗЕЛЕНЦЫ""",,,,
5190158698,ООО «РКФ»,,,,
5190178334,ООО «ФИШ К.М.»,,,,
5190181619,"ООО ""РК ЗАРЯ""",,,,
5190188460,"ООО ""МУРМАНСТРОЙ""",,,,
5190200910,"Проверка контрагента по ИНН – больше, чем выписка из ЕГРЮЛ",ГК Норебо,,МТФ,
5190303200,"ООО ""Карат-1""",ГК Норебо,,,СТАРКОВ ДЕНИС АЛЕКСЕЕВИЧ
5190303835,СПКРК «ЯРУСНЫЙ»,,,,
5190306152,"РК ""БЕЛОМОРСКИЙ РЫБАК""",,,,
5190306184,ООО «КУРАТОР»,,,,
5190307276,ООО «ПУТИНА»,,,,
5190401159,ООО «СЕМЬ ОСТРОВОВ»,,,,
5190401649,ООО «БИОНОРД»,,,,
5190405869,"АО ""Рыбпроминвест""",ГК Норебо,,,СТАРКОВ ДЕНИС АЛЕКСЕЕВИЧ
5190409687,ООО «АКМТ»,,,,
5190411189,"АО ""СЗРК-М""",СЗРК,,,ЖУРАВЛЕВ ВЛАДИМИР ЮРЬЕВИЧ
5190500022,АО НПП «ВЕГА»,,,,
5190803212,"Проверка контрагента по ИНН – больше, чем выписка из ЕГРЮЛ",МурманСиФуд,,,
5190901845,"Проверка контрагента по ИНН – больше, чем выписка из ЕГРЮЛ",ГК ФОР,,,
5190909506,"АО ""НОРД-ВЕСТ Ф.К.""",,,,
5190910910,ООО «ЗВЕЗДА МОРЯКА»,,,,
5190919261,ООО «РК АТЛАНТИКА»,,,,
5190932640,ООО «ИЗУМРУД»,,,,
